Ligand	Receptor	interaction.type	sourcedb	host.organism
XCL1	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	GRPR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	GHSR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	F2RL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	XCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	TACR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	NPFFR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	GPR132	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	AVPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TAC3	CHRM5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	MLNR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	UTS2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	P2RY10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC3	GPR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTMA	PHB2	-	MI:0462(bind)	-
TAC3	OXTR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	ADCY5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL16	P2RY4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	DRD4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PILRA	FCAR	-	MI:0468(hprd)	-
RPS19	ATP1B1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF18	TRAF2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RPS19	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNFRSF18	TRAF2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL2	EPS8	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGFR2	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFRSF18	TRAF2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
GNAS	PTGIR	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAS	PTGIR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAS	PTGIR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAS	PANX1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAS	GNA12	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RPS19	SRPRA	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL2	P2RY12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL2	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL2	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL2	CNR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL2	S1PR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFRSF18	TRAF2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GNAS	GNG12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EYS	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	CDH1	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CDH1	CDH1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
MIA2	ADGRG5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	CDH1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CDH1	CDH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CDH1	ADAM15	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG1	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG1	ERBB3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG1	EGF	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NRG1	ERBB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG1	ERBB4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CDH1	CFTR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	GNA13	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	ADCY9	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	STX4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	SCRIB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	CDC42	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	CDC42	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAI2	ADORA2B	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CPB2	TINAG	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
GNAI2	C5AR1	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
CHID1	STAB1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
FN1	PTPN1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNAI2	ADRA2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF5	FGFR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNAI2	LPAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXADR	CXADR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAI2	ADCY3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
P4HB	PTPRN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LAMB1	BCAM	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAI2	CCR7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNAI2	GRM8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG4	ERBB4	-	MI:0468(hprd)	-
GNAI2	ITPR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNAI2	NPY	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNAI2	GRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNAI2	GABBR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMB1	AGRN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG4	KRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NRG4	ERBB4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF7	KLB	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGF7	FGFR4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGF7	AKT2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
IL1RN	IL1RN	-	MI:0462(bind)	-
IL1RN	IL1RN	-	MI:0000(bind_translation)	-
RLN3	RXFP4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RLN3	RXFP4	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
PTEN	PARK7	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	PARK7	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RLN3	RXFP4	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
RGMA	HFE	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
RLN3	DRD2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	CXCR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	CNR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	PTGIR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	GABBR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	S1PR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	ADRA2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	RXFP2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	GRM3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	ADRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	SSTR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RLN3	LPAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTEN	SDC4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	AR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	AR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	CBL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTEN	ERBB3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	PDGFRA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CHRD	CATSPER1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	MAGI3	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
GDF11	TDGF1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PTEN	NEDD4	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
HLA-A	APLP2	-	MI:0468(hprd)	-
COL5A2	DDR1	-	MI:0468(hprd)	-
HLA-A	PRKAR1A	-	MI:0468(hprd)	-
HLA-A	KIR2DS4	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
PTEN	MAGI3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PTEN	NEDD4	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PTEN	MAGI3	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
PTEN	IRS1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CHRD	CATSPER1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PTEN	TRAT1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PTEN	ITPR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CHRD	CATSPER1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
HP	SORT1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
OSM	LIFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
OSM	LIFR	MI:0915(physical association)	MI:0465(dip)	-
OSM	LIFR	-	MI:0468(hprd)	-
OSM	LIFR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
OSM	LIFR	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
FGFR2	FGFR2	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	SDC2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COL1A1	ITGA2	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
TAC1	TACR2	-	MI:0468(hprd)	-
CCL3	ACKR2	-	MI:0468(hprd)	-
PROC	EPHA6	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL3	ACKR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
C7	CD59	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VWCE	LTBP4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TAC1	GHSR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	LPAR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	BDKRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	P2RY6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	NMUR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	UTS2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GNG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	AVPR1A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GPR65	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IFNA16	IFNAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAC1	GCGR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	NTSR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NGF	NGFR	psi-mi:MI:0407(direct interaction)	MI:1332(bhf-ucl)	-
NGF	NGFR	psi-mi:MI:0915(physical association)	MI:1332(bhf-ucl)	-
CCL3	ACKR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	CHRM3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	OXTR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	TRHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NGF	NGFR	-	MI:0000(bind_translation)	-
PROK2	GNG2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	UTS2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	HTR2C	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PROK2	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NGF	NGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CPN1	CLEC4G	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NGF	NGFR	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
NGF	NGFR	MI:0407(direct interaction)	MI:0465(dip)	-
NGF	NGFR	-	MI:0468(hprd)	-
NGF	NGFR	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
NGF	NGFR	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
CPN1	CLEC4G	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CTSB	SPHK1	-	MI:0468(hprd)	-
NGF	NGFR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXADR	CXADR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
IGF1	F2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIP	ADCYAP1R1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIP	TSHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIP	PTGER2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIP	GHRHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VIP	MC4R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPTX1	PTCH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL25	ACKR2	-	MI:0468(hprd)	-
IFNL1	IFNLR1	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
IFNL1	IFNLR1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
CTSB	SPHK1	psi-mi:MI:0194(cleavage reaction)	MI:0917(matrixdb)	-
GABBR1	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SFTPA2	CORO1C	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
GAST	TACR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	P2RY6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	MCHR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ASIP	MC4R	-	MI:0468(hprd)	-
ASIP	MC1R	-	MI:0468(hprd)	-
GAST	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GAST	FFAR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	GRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	GRM7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GAST	CCKAR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF6	AKT2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SAA1	HTR1E	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	OPN4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	HCAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	TAS2R39	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	OXGR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	TAS2R16	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	OPRL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	ADCY8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SAA1	TAS2R38	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SAA1	XCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	GRK5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SAA1	LPAR6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	ADCY7	psi-mi:MI:0914(association)	MI:0467(reactome)	-
IGFL3	IGFLR1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SCGB3A1	FGFR4	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
IGFL3	IGFLR1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
SAA1	RXFP4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	PTGER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	MCHR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	OPRK1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	CXCR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	GALR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GCG	GPR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GCG	TACR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SAA1	P2RY1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL28	FPR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL28	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IGFL3	IGFLR1	psi-mi:MI:0915(physical association)	MI:0000(uniprotpp)	-
GHRL	GRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	F2RL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	LPAR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	NMBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PCYOX1	PLAUR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GPC3	PIP5K1A	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GHRL	LPAR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	HTR2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GPC3	ULBP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GHRL	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHRL	CCKBR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CD55	CR1	-	MI:0468(hprd)	-
ELANE	VCAM1	-	MI:0468(hprd)	-
ELANE	F2R	-	MI:0468(hprd)	-
CD55	CD14	-	MI:0468(hprd)	-
CCL26	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PDGFA	KRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR1	GNG5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
VEGFA	NRP1	MI:0914(association)	MI:0463(biogrid)	taxid:32644(unidentified)
GNAI2	C5AR1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	FGFR2	psi-mi:MI:0217(phosphorylation reaction)	MI:0917(matrixdb)	-
FGFR2	FGFR2	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
FAM19A4	M6PR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FAM19A4	ITPR1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	FGFR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGFR2	FGFR2	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
FAM19A4	LRP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL26	CX3CR1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CCL26	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGFR2	FGFR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGFR3	FGFR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGFR3	NRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGFR3	FGFR4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BTC	KRAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
BTC	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTSS	HLA-C	psi-mi:MI:0914(association)	MI:0467(reactome)	-
INS	INSR	MI:0407(direct interaction)	MI:0465(dip)	-
FCAR	PPP2CA	-	MI:0468(hprd)	-
INS	INSR	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
INS	INSR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
INS	CACNA1A	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MYOC	OLFM3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
INS	IRS1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	AGTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	GPER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MYOC	OLFM3	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
CXCL3	GABBR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	AGTR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DLL1	NOTCH2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DLL1	NOTCH2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CALR	CANX	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CALR	NR3C1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CALR	KCNH2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CALR	ITGA2B	-	MI:0468(hprd)	-
CCL25	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PODXL	IQGAP1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
PODXL	IQGAP1	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
CCL25	OPRK1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	FPR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL25	PTGER3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PODXL	IQGAP1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PODXL	IQGAP1	psi-mi:MI:0403(colocalization)	MI:0917(matrixdb)	-
CHGB	MARK3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PENK	BDKRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CALR	CANX	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PODXL	SELL	-	MI:0468(hprd)	-
CCL25	TAS2R39	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CHGB	MARK3	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CCL25	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LGALS9	MET	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL25	CCR9	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR1	CNR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DLL1	NCSTN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COL3A1	ITGA1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	GPR65	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR1	DRD3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GAST	HCRTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	GRM8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GAST	HRH1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	NPFFR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	FFAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	F2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	NTSR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GAST	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR1	NPBWR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GAST	CHRM5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR1	OXGR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GABBR1	CACNG2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GABBR1	TAS2R3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GABBR1	TAS2R4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GABBR1	P2RY14	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GABBR1	NMUR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ERBB3	SYK	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
